user_id,Recency,frequency,monetory,cluster
1.5159156254417006e+18,4,20,7458.62,0
1.5159156254523315e+18,4,1,27.75,0
1.5159156254429404e+18,4,28,15655.300000000005,0
1.5159156254413837e+18,4,4,903.58,0
1.515915625452512e+18,4,7,2362.11,0
1.5159156254436032e+18,4,2,1011.24,0
1.5159156254413263e+18,4,6,331.67,0
1.5159156254517842e+18,4,5,236.91000000000005,0
1.515915625452573e+18,4,2,458.26,0
1.5159156254505738e+18,4,1,161.78,0
1.5159156254417183e+18,4,1,24.05,0
1.515915625452093e+18,4,9,2834.8,0
1.5159156254526326e+18,4,2,363.15,0
1.5159156254466176e+18,4,3,627.25,0
1.515915625441863e+18,4,5,217.61,0
1.5159156254526623e+18,4,3,150.4,0
1.515915625452688e+18,4,3,914.28,0
1.5159156254524168e+18,4,1,60.13,0
1.515915625447038e+18,4,5,2537.98,0
1.515915625452707e+18,4,5,282.7,0
1.5159156254440392e+18,4,4,451.05,0
1.5159156254509537e+18,4,3,298.54,0
1.515915625452228e+18,4,11,11345.6,0
1.5159156254527206e+18,4,9,1493.3999999999996,0
1.5159156254527603e+18,4,1,115.72,0
1.5159156254526963e+18,4,1,157.38,0
1.515915625442477e+18,4,4,115.67,0
1.5159156254467162e+18,4,1,37.01,0
1.5159156254418893e+18,4,6,1143.4899999999998,0
1.5159156254479437e+18,4,1,23.13,0
1.515915625452826e+18,4,1,72.92,0
1.5159156254516454e+18,4,2,451.34,0
1.5159156254479068e+18,4,1,122.66,0
1.5159156254529006e+18,4,1,20.81,0
1.515915625451913e+18,4,1,11.55,0
1.515915625442981e+18,4,5,1135.54,0
1.5159156254530232e+18,4,2,60.14,0
1.5159156254530524e+18,4,2,23.15,0
1.5159156254530568e+18,4,10,3060.57,0
1.5159156254752594e+18,4,4,665.18,0
1.5159156254496548e+18,4,1,9.24,0
1.515915625452742e+18,4,1,18.5,0
1.5159156254520425e+18,4,3,391.14,0
1.515915625453094e+18,4,1,46.27,0
1.515915625453114e+18,4,3,137.68,0
1.5159156254461292e+18,4,2,830.95,0
1.515915625453066e+18,4,2,314.77,0
1.515915625449412e+18,4,1,194.42,0
1.515915625453183e+18,4,1,203.68,0
1.515915625442045e+18,4,4,430.47,0
1.5159156254437038e+18,4,6,386.39,0
1.5159156254531057e+18,4,1,18.5,0
1.5159156254521564e+18,4,1,50.9,0
1.5159156254532588e+18,4,1,393.5,0
1.515915625453267e+18,4,2,148.1,0
1.515915625442115e+18,4,2,175.65,0
1.5159156254533542e+18,4,3,442.06000000000006,0
1.5159156254534728e+18,4,1,15.320000000000002,0
1.5159156254463176e+18,4,2,71.97,0
1.5159156254532628e+18,4,1,20.81,0
1.515915625445573e+18,4,1,115.72,0
1.515915625452001e+18,4,1,20.81,0
1.5159156254418788e+18,4,2,435.14,0
1.515915625446609e+18,4,2,182.6,0
1.5159156254497103e+18,4,2,166.62,0
1.5159156254535324e+18,4,3,78.61,0
1.5159156254527168e+18,4,1,7.38,0
1.515915625452134e+18,4,21,2095.12,0
1.5159156254432492e+18,4,1,211.51,0
1.5159156254536325e+18,4,5,2536.69,0
1.5159156254537167e+18,4,2,856.46,0
1.5159156254531694e+18,4,2,186.28000000000003,0
1.515915625446989e+18,4,4,218.66,0
1.515915625448329e+18,4,5,820.8199999999999,0
1.5159156254539295e+18,4,1,2.99,0
1.515915625450715e+18,4,5,1583.88,0
1.5159156254540406e+18,4,1,46.27,0
1.5159156254540475e+18,4,5,1485.05,0
1.5159156254540854e+18,4,7,1805.41,0
1.5159156254530624e+18,4,6,536.14,0
1.5159156254540124e+18,4,1,15.46,0
1.5159156254416123e+18,4,12,3757.76,0
1.5159156254488105e+18,4,2,101.56,0
1.5159156254531425e+18,4,3,73.54,0
1.515915625453631e+18,4,1,67.11,0
1.5159156254476436e+18,4,3,301.96000000000004,0
1.5159156254422193e+18,4,2,1254.54,0
1.5159156254447296e+18,4,1,42.8,0
1.51591562544764e+18,4,8,1471.7099999999996,0
1.5159156254416535e+18,4,2,567.09,0
1.515915625454317e+18,4,8,615.35,0
1.5159156254543544e+18,4,2,129.58,0
1.515915625447924e+18,4,2,42.06,0
1.515915625444455e+18,4,1,37.01,0
1.5159156254538642e+18,4,1,25.44,0
1.51591562544309e+18,4,3,1307.5600000000002,0
1.5159156254511255e+18,4,1,740.72,0
1.5159156254545265e+18,4,4,834.4100000000001,0
1.5159156254499835e+18,4,3,587.6399999999999,0
1.5159156254445097e+18,4,1,34.7,0
1.5159156254519956e+18,4,3,303.16,0
1.5159156254545846e+18,4,8,1591.69,0
1.5159156254498043e+18,4,5,1402.66,0
1.5159156254545695e+18,4,3,879.33,0
1.515915625452588e+18,4,2,118.01,0
1.5159156254533514e+18,4,1,20.35,0
1.5159156254469133e+18,4,4,2180.44,0
1.515915625454224e+18,4,2,1261.3,0
1.515915625443885e+18,4,2,675.88,0
1.5159156254547323e+18,4,1,77.52,0
1.515915625454741e+18,4,2,302.02,0
1.5159156254520184e+18,4,4,2002.16,0
1.5159156254439718e+18,4,1,34.7,0
1.5159156254547712e+18,4,2,586.53,0
1.515915625448739e+18,4,1,48.59,0
